#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
148938	Y	GID1.0039627				28.3261
148939	Y	GID1.0039628				26.429
148941	Y	DDB_G0270114				19.221
148944	Y	GID1.0039633		phosphopantetheine binding	"FNIP, PHOSPHOPANTETHEINE, WD_REPEATS_1"	16.7585
148953	Y	wrnip1	PUTATIVE HELICASE RUVBL	nucleotide binding | DNA binding | DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | ATP binding | DNA replication factor C complex | DNA replication | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | nucleoside-triphosphatase activity | sigma DNA polymerase activity	"AAA, AAA, ATP_GTP_A2, RFC"	32.7022
148955	Y	GID1.0039644		phospholipase D activity | GTP binding | small GTPase mediated signal transduction	"RASTRNSFRMNG, RAS"	29.3734
148956	Y	GID1.0039645		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	20.0562
148957	Y	GID1.0039646				9.01763
148961	Y	GID1.0039650				0.0020284
148963	Y	GID1.0039652				35.9704
148964	Y	talB	"actin binding protein, talin homologue"	actin binding | cytoskeleton | cytoskeleton organization and biogenesis | phosphopantetheine binding	"sp_O97054_DICDI_O97054;, Band_41, I_LWEQ, VHP, VHP, B41, ILWEQ, FERM_3, PHOSPHOPANTETHEINE, FERM_1"	35.9339
148965	Y	DDB_G0287533		sugar porter activity | phosphoenolpyruvate-dependent sugar phosphotransferase system	PTS_HPR_SER	35.5472
148970	Y	GID1.0039659				14.5328
148975	Y	GID1.0039664		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		16.2489
148981	Y	GID1.0039670		ubiquitin-protein ligase activity		33.2711
148982	Y	GID1.0039671		diacylglycerol kinase activity		30.4831
148983	Y	DDB_G0288215		"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"		34.9378
148988	Y	abcC5	ABC transporter C family protein	"nucleotide binding | ATP binding | transport | integral to membrane | ATPase activity | nucleoside-triphosphatase activity | ATPase activity, coupled to transmembrane movement of substances"	"sp_Q94E55_ORYSA_Q94E55;, ABC_tran, ABC_membrane, AAA, DA_BOX, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1, WW_DOMAIN_1"	35.2578
148991	Y	syn7A	"syntaxin 7, t-SNARE family protein"	intracellular protein transport | protein transporter activity | membrane	"SNARE, t_SNARE, T_SNARE, SYNTAXIN"	33.8047
148995	Y	gnb1l	guanine nucleotide-binding protein subunit beta-like protein 1	1-alkyl-2-acetylglycerophosphocholine esterase activity	"sp_Q8YSG6_ANASP_Q8YSG6;, GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.9501
148999	Y	ogg1	"8-oxoguanine DNA-glycosylase, DNA-formamidopyrimidine glycosylase, mutM homolog"	base-excision repair	HhH-GPD	31.5689
149003	Y	pdhC	"dihydrolipoamide acetyltransferase, dihydrolipoyllysine-residue acetyltransferase, pyruvate dehydrogenase E2 component"	dihydrolipoyllysine-residue acetyltransferase activity | protein binding | glycolysis | metabolism | acyltransferase activity | dihydrolipoamide S-acyltransferase complex | dihydrolipoamide S-acyltransferase activity | pyruvate dehydrogenase complex	"sp_Q9SLL0_ARATH_Q9SLL0;, 2-oxoacid_dh, Biotin_lipoyl, E3_binding, PDHac_trf_mito, LIPOYL"	34.786
149015	Y	eftud1	"band 7 family protein, elongation factor Tu domain-containing protein, small GTP-binding protein domain-containing protein"	GTPase activity | GTP binding | protein biosynthesis | protein-synthesizing GTPase activity	"ELONGATNFCT, GTP_EFTU, EFG_C, GTP_EFTU_D2"	35.0137
149019	Y	GID1.0039708				32.6635
149032	Y	DDB_G0270734		nucleic acid binding | phospholipid-translocating ATPase activity	"RRM_1, RRM, RRM_1, RRM"	28.9424
149033	Y	DDB_G0270778	putative prolyl 4-hydroxylase alpha subunit	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors | protein metabolism"	"2OG-FeII_Oxy, P4Hc"	32.9496
149038	Y	pmpA	putative membrane protein			35.9116
149039	Y	DDB_G0270014		ubiquitin ligase complex | catalytic activity | ubiquitin-protein ligase activity | carbohydrate metabolism | zinc ion binding | protein ubiquitination	"sp_Q86JN1_DICDI_Q86JN1;, zf-C3HC4, CBM_20, RING, Ubox, ZF_RING_2, ZF_RING_1"	35.4638
149041	Y	fahd1	Fumarylacetoacetate (FAA) hydrolase domain-containing protein	"C-8 sterol isomerase activity | catalytic activity | metabolism | delta5-delta2,4-dienoyl-CoA isomerase activity | intramolecular oxidoreductase activity, transposing C=C bonds | 3-carboxymuconate cycloisomerase type II activity"	FAA_hydrolase	35.947
149048	Y	DDB_G0275075	putative N-terminal acetyltransferase similar to N-TERMINAL ACETYLTRANSFERASE	peptide alpha-N-acetyltransferase activity	"TPR, TPR, TPR_REPEAT, TPR_REGION"	34.588
149056	Y	DDB_G0270892				33.0297
149063	Y	GID1.0039752		catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MITOCH_CARRIER, B_KETOACYL_SYNTHASE"	7.06456
149064	Y	GID1.0039753		catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MITOCH_CARRIER, B_KETOACYL_SYNTHASE"	6.87721
149067	Y	GID1.0039756		catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MITOCH_CARRIER, B_KETOACYL_SYNTHASE"	2.82149
149068	Y	GID1.0039757		catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MITOCH_CARRIER, B_KETOACYL_SYNTHASE"	4.28716
149069	Y	pks3	"beta-ketoacyl synthase family protein, putative polyketide synthase"	catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MITOCH_CARRIER, B_KETOACYL_SYNTHASE"	4.49592
149073	Y	DDB_G0269588	FadA6_3.	acetyl-CoA C-acetyltransferase activity	"Thiolase_N, Thiolase_C, AcCoA-C-Actrans, THIOLASE_2"	35.8937
149075	Y	DDB_G0269598		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		33.641
149081	Y	GID1.0039770				18.1657
149085	Y	DDB_G0270018		metabolism | oxidoreductase activity | 3-dehydrosphinganine reductase activity	"SDRFAMILY, GDHRDH, adh_short"	35.2775
149089	Y	DDB_G0269342				35.875
149090	Y	GID1.0039779			"OTU, OTU"	3.97816
149091	Y	abcG14	ABC transporter G family protein	"nucleotide binding | ATP binding | transport | integral to membrane | ATPase activity | nucleoside-triphosphatase activity | ATPase activity, coupled to transmembrane movement of substances"	"sp_Q8T683_DICDI_Q8T683;, ABC_tran, PDR_CDR, AAA, DA_BOX, ATP_GTP_A2, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1"	33.838
149098	Y	DDB_G0267742	putative acylaminoacyl-peptidase	DNA binding | catalytic activity | acylaminoacyl-peptidase activity | nucleus	"ESTERASE, MYB_1"	34.7791
149103	Y	cycL	cyclin	regulation of cell cycle | nucleus	"Cyclin_N, Cyclin_C, CYCLIN"	35.3208
149104	Y	GID1.0039793				0.157773
149105	Y	rrpC	RNA-directed RNA polymerase	"nucleic acid binding | helicase activity | ATP binding | ATP-dependent helicase activity | bidentate ribonuclease III activity | endoribonuclease activity, producing 5'-phosphomonoesters"	"DEAD, Helicase_C, ResIII, RdRP, DEXDc, HELICc, HELICASE, TONB_DEPENDENT_REC_1"	34.7744
149107	Y	DDB_G0279627				35.1595
149109	Y	GID1.0039798				32.3341
149114	Y	DDB_G0281603		histone acetyltransferase activity	MMR_HSR1	32.1486
149116	Y	ccdc130	CG15084 protein (GH26994p).		DUF572	35.8517
149119	Y	DDB_G0292886		ubiquitin-protein ligase activity	DUF862	35.03
149124	Y	DDB_G0280119		DNA ligase (ATP) activity	"FHA, FHA_DOMAIN"	33.5296
149126	Y	DDB_G0280269		1-phosphatidylinositol-3-phosphate 5-kinase activity		30.5655
149128	Y	DDB_G0280385			TPR	34.5904
149133	Y	DDB_G0280263	glycoside hydrolase family 16 protein	"hydrolase activity, hydrolyzing O-glycosyl compounds | carbohydrate metabolism"	Glyco_hydro_16	33.5957
149141	Y	pldB	phospholipase D1	catalytic activity | phospholipase D activity | calcium ion binding | metabolism	"PH, PLDc, PLDc, PH, PH_DOMAIN, PLD, EF_HAND_2, EF_HAND"	35.6774
149145	Y	DDB_G0279487	"GCN1-like protein, HEAT repeat-containing protein, armadillo-like helical domain-containing protein"		HEAT_REPEAT	33.4647
149147	Y	GID1.0039836		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	11.0319
149150	Y	GID1.0039839				4.69336
149152	Y	GID1.0039841			EGF_1	3.18236
149153	Y	GID1.0039842				8.11813
149158	Y	CYP513F1	cytochrome P450 family protein	monooxygenase activity | electron transport | unspecific monooxygenase activity	"P450, EP450I, p450, Arm, ARM, CYTOCHROME_P450"	35.5841
149159	Y	GID1.0039848				35.8664
149161	Y	DDB_G0279477			DUF1339	35.9471
149165	Y	DDB_G0278759		NAD+ ADP-ribosyltransferase activity	"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	35.8872
149166	Y	DDB_G0278383				35.8997
149168	Y	bzpD	putative basic-leucine zipper (bZIP) transcription factor	"1-phosphatidylinositol-3-phosphate 5-kinase activity | DNA binding | transcription factor activity | nucleus | regulation of transcription, DNA-dependent"	"LEUZIPPRCREB, bZIP, BRLZ, BZIP"	34.6958
149180	Y	GID1.0039869				11.6195
149185	Y	GID1.0039874				11.2699
149186	Y	GID1.0039875				5.08722
14919	Y	DDB_G0275899	Similar to Dictyostelium discoideum (Slime mold). diacylglycerol kinase protein DgkA.	phosphopantetheine binding	PHOSPHOPANTETHEINE	35.2163
149192	Y	GID1.0039881		glutathione transferase activity	"GST_N, GST_N"	35.751
149193	Y	GID1.0039882				35.3069
149194	Y	GID1.0039883				31.4908
149198	Y	GID1.0039887				18.9198
149199	Y	GID1.0039888				31.1483
149207	Y	DDB_G0285313		ubiquitin-protein ligase activity | transporter activity | transport | membrane	MIP	33.1029
149208	Y	dhcA	"cytoplasmic dynein heavy chain, dynein beta chain,  flagellar outer arm"	nucleotide binding | microtubule motor activity | cysteine-type endopeptidase activity | proteolysis and peptidolysis | microtubule-based movement | dynein ATPase activity | nucleoside-triphosphatase activity | dynein complex	"Dynein_heavy, AAA, CRYSTALLIN_BETAGAMMA, THIOL_PROTEASE_HIS"	35.8222
149214	Y	GID1.0039903		ATP binding	CPSASE_2	35.9331
149220	Y	GID1.0039909		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		34.8815
149221	Y	DDB_G0286735		"ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity | protein ubiquitination | acid-amino acid ligase activity | ribosomal S6-glutamic acid ligase activity"	"sp_Q9H073_HUMAN_Q9H073;, GPROTEINBRPT, WD40, RING, WD40, WD_REPEATS_2, WD_REPEATS_REGION, ZF_RING_1, WD_REPEATS_1"	35.1734
149222	Y	hbx12	"homeodomain (HOX) containing protein, putative homeobox transcription factor"	"DNA binding | transcription factor activity | ubiquitin-protein ligase activity | nucleus | regulation of transcription, DNA-dependent"	"sp_HM40_CAEEL_Q19503;, Homeobox, HOX, HOMEOBOX_2"	31.5666
149223	Y	GID1.0039912				30.9236
149224	Y	GID1.0039913				35.8708
149232	Y	DDB_G0285827		peptidyl-prolyl cis-trans isomerase activity | cyclophilin | FK506-sensitive peptidyl-prolyl cis-trans isomerase | cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	"TPR, TPR, TPR_REPEAT, TPR_REGION"	35.793
149240	Y	DDB_G0279937		ubiquitin-protein ligase activity	"VPS9, VPS9"	31.2629
149242	Y	DDB_G0275873		ubiquitin-protein ligase activity		29.9837
149244	Y	DDB_G0275661				34.4255
149247	Y	GID1.0039936				31.7374
149252	Y	DDB_G0278119				33.0233
149253	Y	DDB_G0286603	"glucosamine-fructose-6-phosphate aminotransferase, glutamine-fructose-6-phosphate transaminase (isomerizing)"	glutamine-fructose-6-phosphate transaminase (isomerizing) activity | sugar binding | cytoplasm | carbohydrate metabolism | metabolism | carbohydrate biosynthesis	"GATase_2, SIS, glmS"	35.9121
149255	Y	adcD	"FYVE-type zinc finger-containing protein, arrestin domain-containing protein"	"zinc ion binding | exodeoxyribonuclease X activity | exonuclease VIII activity | ribonuclease R activity | exodeoxyribonuclease activity, producing 5'-phosphomonoesters"	"FYVE, FYVE, ZF_FYVE"	34.9751
149258	Y	GID1.0039947				0.0026178
149259	Y	GID1.0039948				0.00263852
149262	Y	gnt11	"GlcNAc transferase, beta-1, 6-N-acetylglucosaminyltransferase, core-2/I-branching enzyme, glycosyltransferase"	acetylglucosaminyltransferase activity | membrane	Branch	31.2167
149266	Y	GID1.0039955			FNIP	33.6354
149271	Y	GID1.0039960			FNIP	35.8146
149273	Y	DDB_G0285875	"BP28,  C-terminal domain-containing protein, U3 small nucleolar ribonucleoprotein, U3 snoRNP protein"	ubiquitin-protein ligase activity	HEAT_REPEAT	35.6887
149277	Y	GID1.0039966		actin binding	"FNIP, ACTININ_1"	32.154
149279	Y	GID1.0039968				35.9234
149280	Y	abcB2	ABC transporter B family protein	"nucleotide binding | ATP binding | transport | integral to membrane | ATPase activity | nucleoside-triphosphatase activity | ATPase activity, coupled to transmembrane movement of substances"	"sp_Q8T9W5_DICDI_Q8T9W5;, ABC_tran, ABC_membrane, AAA, DA_BOX, ATP_GTP_A2, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1"	34.9541
149285	Y	GID1.0039974				28.0546
149290	Y	GID1.0039979			FNIP	27.8561
149292	Y	GID1.0039981		GTP binding | intracellular protein transport | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, RAN, small_GTP"	34.5353
149310	Y	alxA	ALG-2 interacting protein X	protein tyrosine phosphatase activity | prenylated protein tyrosine phosphatase activity | signal transduction	BRO1	34.7685
149317	Y	GID1.0040006				35.7929
149318	Y	GID1.0040007				35.7682
149321	Y	DDB_G0277747	Similar to Dictyostelium discoideum (Slime mold). cGMP-specific phosphodiesterase.	"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		30.4247
149324	Y	DDB_G0275909	Similar to Dictyostelium discoideum (Slime mold). protein-tyrosine phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase 3).		CRYSTALLIN_BETAGAMMA	35.6651
149327	Y	DDB_G0275495	unknown			35.1226
149337	Y	myoG	unconventional myosin heavy chain	motor activity | ATP binding | cytoskeleton | myosin ATPase activity | myosin	"sp_Q86AC8_DICDI_Q86AC8;, MYOSINHEAVY, SH3_1, Myosin_head, IQ, MyTH4, IQ, MyTH4, MYSc, B41, FERM_3, IQ"	33.5743
149339	Y	GID1.0040028			FNIP	34.0181
149346	Y	GID1.0040035		ubiquitin-protein ligase activity | protein modification	"AT_hook, UBQ, UBIQUITIN_2"	33.0397
149347	Y	DDB_G0288795	"AKT family protein kinase, protein kinase,  AGC group, putative protein serine/threonine kinase"	protein kinase activity | protein serine/threonine kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | protein-tyrosine kinase activity | ATP binding | cAMP-dependent protein kinase complex | protein kinase CK2 complex | protein amino acid phosphorylation | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity	"sp_Q8T9A5_DROME_Q8T9A5;, Pkinase, Pkinase_C, S_TK_X, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_ST"	35.9234
149348	Y	GID1.0040037				33.3004
149351	Y	GID1.0040040			"LRR, ANK_REP_REGION"	32.9235
149353	Y	DDB_G0284561			"LRR, LRR_CC, LRR_CC"	33.5043
149356	Y	DDB_G0284559	Similar to Dictyostelium discoideum (Slime mold). hypothetical 97.7 kDa protein.		FNIP	34.3913
149357	Y	DDB_G0279285				31.8707
149363	Y	GID1.0040052				6.98755
149365	Y	GID1.0040054				35.6482
149368	Y	DDB_G0284311	unknown			35.1001
149369	Y	DDB_G0284223	metallophosphoesterase domain-containing protein	hydrolase activity	"Metallophos, PHOSPHO_ESTER"	35.9765
14937	Y	DDB_G0291798			"Ank, ANK, ANK_REP_REGION"	33.7771
149370	Y	DDB_G0290307	"ELAVL1-like protein, RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein"	nucleic acid binding | RNA binding	"HUDSXLRNA, RRM_1, RRM, RRM, RRM_RNP_1"	35.2698
149374	Y	DDB_G0290301		ubiquitin-protein ligase activity		30.906
149375	Y	cprE	cysteine proteinase 5 precursor	cysteine-type endopeptidase activity | proteolysis and peptidolysis | cysteine-type peptidase activity | cathepsin F activity	"sp_CYS4_DICDI_P54639;, PAPAIN, Peptidase_C1, Pept_C1, THIOL_PROTEASE_CYS, THIOL_PROTEASE_HIS, THIOL_PROTEASE_ASN"	28.2257
149379	Y	pARTf	"poly(ADP-ribose) polymerase,  catalytic region domain-containing protein"	calcium ion binding	"WWE, EF_HAND"	35.936
149385	Y	xrcc2	"AAA ATPase domain-containing protein, putative DNA repair protein XRCC2"	damaged DNA binding | ATP binding | DNA repair | DNA recombination | DNA-dependent ATPase activity	RECA_2	33.2363
149388	Y	efa1B	"elongation factor 1 beta, elongation factor 1b"	translation elongation factor activity | intracellular | eukaryotic translation elongation factor 1 complex | translational elongation	"BRCT, EF1_GNE, BRCT, EF1BD_1"	32.4763
149390	Y	DDB_G0284439				35.1612
149391	Y	DDB_G0284021		chloride transport | regulation of cell volume	ICLNCHANNEL	35.1842
149392	Y	pigB	"dolichyl-phosphate-mannose alpha-1, 6-mannosyltransferase, glycosyltransferase, phosphatidylinositol glycan,  class B, putative transmembrane protein"		Glyco_transf_22	29.7746
149409	Y	GID1.0040098				35.61
149410	Y	GID1.0040099				34.1231
149411	Y	GID1.0040100				35.6415
149418	Y	GID1.0040107				35.8723
149424	Y	gacEE	"C2 calcium/lipid-binding (CaLB) region-containing protein, RhoGAP domain-containing protein, pleckstrin homology (PH) domain-containing protein"		"C2DOMAIN, C2, PH, RhoGAP, PH, C2, RhoGAP, PH_DOMAIN, C2_DOMAIN_2, RHOGAP, C2_DOMAIN_1"	35.9312
149427	Y	DDB_G0291800	"glutathione-dependent formaldehyde-activating,  GFA family protein"	metabolism | carbon-sulfur lyase activity	DUF636	35.5831
149430	Y	sppA	"S1P phosphatase, sphingosine-1-phosphate phosphatase"			34.573
149432	Y	DG1074	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein"	nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	30.6361
149433	Y	GID1.0040122				30.6321
149439	Y	GID1.0040128			MITOCH_CARRIER	35.8566
149441	Y	GID1.0040130		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, ZF_RING_2"	33.8234
149442	Y	GID1.0040131				35.4344
149443	Y	DDB_G0272206	Similar to Dictyostelium discoideum (Slime mold). Histidine kinase A.		"TPR, TPR_REPEAT, TPR_REGION, IG_MHC"	33.8178
149445	Y	DDB_G0272456	"HEAT repeat-containing protein, armadillo-like helical domain-containing protein"	ubiquitin-protein ligase activity		34.2908
149447	Y	DDB_G0273137	HYPOTHETICAL 83.2 KDA PROTEIN	GPI-anchor transamidase activity | hydrolase activity | regulation of hydrolase activity	"NUDIXFAMILY, NUDIX"	32.6001
14945	Y	fimC	"actin binding protein, calponin homology (CH) domain-containing protein, fimbrin-3"	actin binding | myosin ATPase activity	"CH, CH, CH, ACTININ_1"	35.4298
149452	Y	DDB_G0273597	has similarity to the %3C%2Fi%3ES. cerevisisae%3C%2Fi%3E ATP10%2C a mitochondrial inner membrane protein required for assembly of the mitochondrial F1F0 ATP synthase%3B there is a second copy of this gene%2C %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3D DDB_G0273147%22%3E%3Ci%3E DDB_G0			35.4016
149460	Y	DDB_G0271946	Similar to Staphylococcus epidermidis ATCC 12228. streptococcal hemagglutinin protein.	"calcium ion binding | nucleus | regulation of transcription, DNA-dependent"	"YEATS, EF_HAND"	32.856
149461	Y	GID1.0040150				15.5366
149465	Y	DDB_G0284767	unknown			35.5431
149471	Y	DDB_G0273285	Similar to Dictyostelium discoideum (Slime mold). prespore-specific protein.	nucleic acid binding | phosphopantetheine binding	"PHOSPHOPANTETHEINE, RRM_RNP_1"	35.7955
149475	Y	GID1.0040164			"GRAM, SNARE, t_SNARE, GRAM, T_SNARE"	0.000719424
149476	Y	GID1.0040165				0.000796813
149485	Y	GID1.0040174		protein kinase activity | protein serine/threonine kinase activity | transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling	"sp_Q95ZN5_CAEEL_Q95ZN5;, Pkinase, FNIP, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	24.5092
149491	Y	GID1.0040180				24.0245
149493	Y	GID1.0040182			GST_C	34.6336
149495	Y	GID1.0040184				35.6524
149503	Y	DDB_G0280193		"two-component sensor molecule activity | two-component signal transduction system (phosphorelay) | signal transducer activity | regulation of transcription, DNA-dependent | signal transduction"	"PAC, PAC, PAS, sensory_box, PAS, PAC"	35.9018
149504	Y	hdaC	"FYVE-type zinc finger-containing protein, HMG-I and HMG-Y,  DNA-binding domain-containing protein, histone deacetylase family protein"		"HDASUPER, Hist_deacetyl, AT_hook"	33.826
149505	Y	sepsecs	O-phosphoseryl-tRNA(Sec) selenium transferase		SLA_LP_auto_ag	35.9105
149510	Y	taf7	"TFIID subunit, transcription initiation factor TFIID subunit"	transcription factor activity | nucleus | regulation of transcription	TAFII55_N	32.4068
149512	Y	DDB_G0294555	unknown	ubiquitin-protein ligase activity		30.7401
149515	Y	DDB_G0291336		calcium ion binding	"efhand, TPR_REPEAT, EF_HAND_2, EF_HAND"	35.8021
149516	Y	GID1.0040205				33.5708
149521	Y	GID1.0040210			"EGF, EGF_1, EGF_2"	6.93817
149523	Y	frmA	"Band 4.1 domain-containing protein, FERM domain-containing protein, PH domain-containing protein, talin family protein"	cytoskeleton	"BAND41, Band_41, B41, FERM_3, FERM_1"	34.2133
149527	Y	DDB_G0292010		"diacylglycerol pyrophosphate phosphatase activity | nucleic acid binding | helicase activity | thiamin-pyrophosphatase activity | ATP binding | ATP-dependent helicase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	"DEAD, Helicase_C, DEXDc, HELICc, HELICASE, DEAD_ATP_HELICASE"	35.3873
149534	Y	DDB_G0280373				32.0271
149538	Y	GID1.0040227				12.9099
149540	Y	DDB_G0275165	"LISK family protein kinase, protein kinase,  TKL group, tyrosine kinase-like protein"	protein kinase activity | protein serine/threonine kinase activity | transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling	"sp_Q869X3_DICDI_Q869X3;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	31.8305
149546	Y	DDB_G0275181	"methylmalonyl coenzyme A racemase, methylmalonyl-CoA epimerase"	methylmalonyl-CoA epimerase activity	"sp_Q8XN87_CLOPE_Q8XN87;, Glyoxalase"	35.7475
149549	Y	DDB_G0292124				35.0057
149551	Y	GID1.0040240			"OTU, OTU"	6.56594
