#gene ID	dictybase ID										
#genename	gene name										
#synonyms	dictybase synonyms										
#annotation	gene annotation										
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and #Cellular Component ontologies are separated by || and each term within the ontology is #separated by comma."										
#domains	Protein domain identified in gene. Separated by comma.										
#polyA	Indicate if gene has polyA tail										
#est_count	Number of ESTs mapping to gene										
#published_mutants	Published mutants of gene. Each strain is separated by ||. The phenotype #for each strain is separated by comma.										
#cell_type	gene enrichment in cell type. Defined using Maeda et al.										
#enrichment_pattern	The clone ID and cell type enrichment pattern reported by Maeda et al.										
#percent_mapability	The percent of mapable transcript nucleotides 										
#											
gene ID	genename	synonyms	annotation	go_terms	domains	polyA	est_count	published_mutants	cell_type	enrichment_pattern	percent_mapability
DDB_G0267938	DDB_G0267938			"P:  || F: kinase activity, transferase activity || C: "		Y					0.930082
DDB_G0267940	DDB_G0267940					Y					0.998766
DDB_G0267942	DDB_G0267942		GRAM domain-containing protein	P: biological_process || F: molecular_function || C: cellular_component	GRAM	Y	6				0.968125
DDB_G0267944	DDB_G0267944					Y					1
DDB_G0267946	DDB_G0267946					Y					1
DDB_G0267948	DDB_G0267948				DUF2360	Y					0.982176
DDB_G0267950	copE	epsilon-COP	coatomer protein complex epsilon subunit	"P: intracellular protein transport, retrograde vesicle-mediated transport, Golgi to ER || F: binding, protein transporter activity || C: cytoplasm, membrane, COPI vesicle coat"	Coatomer_E	Y	2				1
DDB_G0267952	DDB_G0267952			"P: cell redox homeostasis || F: electron carrier activity, protein disulfide oxidoreductase activity || C: "	Thioredoxin	Y					0.984375
DDB_G0267954	DDB_G0267954		Y17G7B.18a protein.		"Bin3, Methyltransf_12"	Y	2				0.861857
DDB_G0267956	abiA	Abi2	component of SCAR regulatory complex	"P: cytokinesis, regulation of actin polymerization or depolymerization, chemotaxis to folate, establishment of protein localization || F: protein binding || C: SCAR complex, SCAR complex, SCAR complex"		Y	4	"abiA-: aberrant cytokinesis, aberrant protein localization, decreased chemotaxis to folate, decreased growth rate, decreased protein level || abiA-: aberrant protein localization"			0.996
DDB_G0267958	DDB_G0267958		"bromodomain-containing protein, SMAD/FHA domain-containing protein, BRD group protein"	P: biological_process || F: molecular_function || C: cellular_component	"Bromodomain, FHA"	Y	6				0.99361
DDB_G0267960	cog4		oligomeric Golgi complex component	P: biological_process || F: molecular_function || C: cellular_component	COG4	Y	4				0.97004
DDB_G0267962	tsuA	tsunami	"putative protein serine/threonine kinase, fused-like protein kinase, ULK family protein kinase"	"P: protein amino acid phosphorylation, establishment of cell polarity, negative regulation of actin filament polymerization, regulation of pseudopodium assembly, chemotaxis to folate, chemotaxis to cAMP, regulation of aggregation involved in sorocarp development || F: protein serine/threonine kinase activity, ATP binding || C: microtubule organizing center, cytoplasmic microtubule"	"Pkinase, HEAT, HEAT"	Y		"tsuA-: aberrant chemotaxis to cAMP, aberrant chemotaxis to folate, abolished cell polarity, decreased aggregate size, decreased fruiting body size, delayed aggregation, increased period of cAMP wave formation || tsuA-/[unk]:tsuA(1-1774):YFP: abolished localization of protein to microtubules, abolished localization of protein to the microtubule organizing center, decreased aggregate size, decreased fruiting body size || tsuA-/[unk]:tsuA(1-260):YFP: abolished localization of protein to microtubules, abolished localization of protein to the microtubule organizing center, decreased aggregate size, decreased fruiting body size || tsuA-/[unk]:tsuA(1774-2247):YFP: abolished localization of protein to microtubules, abolished localization of protein to the microtubule organizing center, decreased aggregate size, decreased fruiting body size || tsuA-/[unk]:tsuA(K34R):YFP: decreased aggregate size, decreased fruiting body size || tsuA-/[unk]:tsuA:YFP: wild type"			0.886138
DDB_G0267964	DDB_G0267964		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	2				0.989446
DDB_G0267966	pyd1		dihydropyrimidine dehydrogenase	"P: 'de novo' pyrimidine base biosynthetic process, pyrimidine base catabolic process, metabolic process || F: catalytic activity, dihydroorotate dehydrogenase activity, dihydroorotate oxidase activity, iron ion binding, electron carrier activity, disulfide oxidoreductase activity, oxidoreductase activity, dihydropyrimidine dehydrogenase (NADP+) activity, metal ion binding, iron-sulfur cluster binding, 4 iron, 4 sulfur cluster binding || C: cytosol, membrane"	"Fer4, Fer4, DHO_dh, Pyr_redox_2"	Y	86				0.997361
DDB_G0267968	DDB_G0267968					Y					0.602707
DDB_G0267970	DDB_G0267970					Y					1
DDB_G0267972	DDB_G0267972					Y					0.69708
DDB_G0267974	DDB_G0267974				CH	Y	1				0.973133
DDB_G0267976	aph1		gamma-secretase subunit Aph-1	"P: protein processing, positive regulation of catalytic activity || F: protein binding || C: integral to membrane"	Aph-1	Y	8				0.98583
DDB_G0267978	krsB	Krs2	"calpain-like cysteine protease, putative protein serine/threonine kinase, STE20 family protein kinase, protein kinase, STE group, MST subfamily kinase, peptidase C2 family protein"	"P: protein amino acid phosphorylation, proteolysis, apoptosis, signal transduction, cell proliferation || F: nucleotide binding, calcium-dependent cysteine-type endopeptidase activity, protein serine/threonine kinase activity, protein binding, ATP binding, peptidase activity, kinase activity, transferase activity || C: intracellular, nucleus, cytoplasm"	"Pkinase, Calpain_III, Calpain_III, Calpain_III, Calpain_III"	Y	34				0.985839
DDB_G0267980	mocs3		molybdenum cofactor synthesis 3	"P: metabolic process || F: catalytic activity, oxidoreductase activity || C: "	"ThiF, MoeZ_MoeB"	Y					1
DDB_G0267982	copA	alpha-COP	"WD40 repeat-containing protein, coatomer protein complex alpha subunit"	"P: protein targeting, intracellular protein transport || F: protein transporter activity || C: COPI vesicle coat"	"WD40, WD40, WD40, WD40, WD40, Coatomer_WDAD, COPI_C"	Y	33				0.995637
DDB_G0267984	DDB_G0267984		peptidase M20 family protein	"P: proteolysis || F: metallopeptidase activity, hydrolase activity, protein dimerization activity || C: "	"Peptidase_M20, M20_dimer"	Y	3				1
DDB_G0267986	DDB_G0267986					Y					0.974414
DDB_G0267988	DDB_G0267988					Y					0.928
DDB_G0267990	ypel		yippee-like protein	P: biological_process || F: molecular_function || C: cellular_component	Yippee	Y	1				0.987212
DDB_G0267992	DDB_G0267992			"P: protein amino acid dephosphorylation || F: phosphoprotein phosphatase activity, hydrolase activity || C: "		Y					1
DDB_G0267994	DDB_G0267994		DNAJ heat shock N-terminal domain-containing protein	"P: protein folding || F: heat shock protein binding, unfolded protein binding || C: cellular_component"	DnaJ	Y	72				0.988599
DDB_G0267996	DDB_G0267996					Y	5				1
DDB_G0267998	psiS		PA14 domain-containing protein			Y	5				0.961491
DDB_G0268000	psiB		PA14 domain-containing protein		"Dicty_CTDC, Dicty_CTDC, Dicty_CTDC, Dicty_CTDC, Dicty_CTDC, PA14"	Y	4				0.566867
DDB_G0268002	DDB_G0268002_ps		pseudogene			Y					0.934186
DDB_G0268004	snrp70		U1 small nuclear ribonucleoprotein 70 kDa protein	"P: RNA splicing || F: nucleotide binding, RNA binding || C: snRNP U1, ribonucleoprotein complex"	RRM_1	Y	3				0.971035
DDB_G0268006	DDB_G0268006			P: response to stress || F:  || C: 	Usp	Y					1
DDB_G0268008	DDB_G0268008			P:  || F: oxidoreductase activity || C: 		Y	3				0.999229
DDB_G0268010	DDB_G0268010		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	2				0.956233
DDB_G0268012	DDB_G0268012		response regulator receiver domain-containing protein	"P: two-component signal transduction system (phosphorelay), transcription, regulation of transcription, DNA-dependent, response to stimulus || F: two-component response regulator activity || C: cellular_component"	Response_reg	Y	3	DDB_G0268012-: wild type			0.886087
DDB_G0268014	gtf2h1	"TF2H1, THIIH1"	general transcription factor IIH component	"P: nucleotide-excision repair, transcription initiation from RNA polymerase II promoter || F: general RNA polymerase II transcription factor activity || C: nucleotide-excision repair factor 3 complex, holo TFIIH complex"	"BSD, BSD, TFIIH_BTF_p62_N"	Y	10				0.993795
DDB_G0268016	DDB_G0268016		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	1				1
DDB_G0268018	DDB_G0268018					Y	2				0.981841
DDB_G0268020	bkdB	BCKDHB	"3-methyl-2-oxobutanoate dehydrogenase (lipoamide), branched-chain alpha-keto acid dehydrogenase E1 beta chain"	P: branched chain family amino acid catabolic process || F: 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity || C: 3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex	"Transket_pyr, Transketolase_C"	Y	15				0.992819
DDB_G0268022	DDB_G0268022			P:  || F:  || C: membrane	DUF6	Y	2				1
DDB_G0268024	hdaA		histone deacetylase family protein	P: histone deacetylation || F: histone deacetylase activity || C: nucleus	Hist_deacetyl	Y	6				0.958361
DDB_G0268026	DDB_G0268026					Y	23				1
DDB_G0268028	DDB_G0268028		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	154		prespore		0.994404
DDB_G0268030	DDB_G0268030					Y					0.779384
DDB_G0268032	DDB_G0268032					Y					1
DDB_G0268034	DDB_G0268034		Rab GDP dissociation inhibitor alpha	"P: protein transport, regulation of GTPase activity || F: Rab GDP-dissociation inhibitor activity || C: cellular_component"	GDI	Y	71				0.994143
DDB_G0268036	DDB_G0268036		"2,3-diketo-5-methylthio-1-phosphopentane enolase"	"P: metabolic process, amino acid biosynthetic process, methionine biosynthetic process, methionine salvage || F: magnesium ion binding, catalytic activity, hydrolase activity, metal ion binding || C: cellular_component"	Hydrolase	Y					1
DDB_G0268038	DDB_G0268038		"12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130045P06 product:granule cell differentiation protein, full insert sequence."		"Ank, Ank"	Y	14				1
DDB_G0268040	DDB_G0268040				Adaptin_binding	Y	2				0.978937
DDB_G0268042	DDB_G0268042				CS	Y	31				1
DDB_G0268044	DDB_G0268044				SAPS	Y	130				0.995687
DDB_G0268046	DDB_G0268046					Y					1
DDB_G0268048	DDB_G0268048				UPF0172	Y	3				1
DDB_G0268050	DDB_G0268050					Y					0.973757
DDB_G0268052	DDB_G0268052					Y	2				0.830972
DDB_G0268054	DDB_G0268054					Y					1
DDB_G0268056	sptA	SPT	serine C-palmitoyltransferase subunit	"P: sphingolipid biosynthetic process || F: serine C-palmitoyltransferase activity, transferase activity || C: serine C-palmitoyltransferase complex"	Aminotran_1_2	Y					0.999306
DDB_G0268058	alrC		aldo-keto reductase	"P: carbohydrate metabolic process || F: aldehyde reductase activity, oxidoreductase activity || C: "	Aldo_ket_red	Y					0.885212
DDB_G0268060	DDB_G0268060		"Q9FY46 Sulfate transporter 4.1, chloroplast precursor (AST82)."	"P: transport, sulfate transport || F: transporter activity, secondary active sulfate transmembrane transporter activity || C: membrane, integral to membrane"	"Sulfate_transp, STAS"	Y	19				0.98937
DDB_G0268062	DDB_G0268062			P:  || F: motor activity || C: myosin complex	Myosin_TH1	Y					0.846197
DDB_G0268064	DDB_G0268064		esterase/lipase/thioesterase domain-containing protein	P: biological_process || F: catalytic activity || C: centrosome	Abhydrolase_2	Y	2				1
DDB_G0268066	DDB_G0268066		putative ATPase	"P:  || F: nucleotide binding, ATP binding, nucleoside-triphosphatase activity || C: "	"AAA, AAA"	Y	2				0.938367
DDB_G0268068	rab6		Rab GTPase	"P: small GTPase mediated signal transduction, protein transport || F: nucleotide binding, GTP binding || C: membrane"	Ras	Y	10				0.998408
DDB_G0268070	DDB_G0268070			P:  || F: protein binding || C: 	F-box	Y					1
DDB_G0268072	DDB_G0268072					Y	2				0.981718
DDB_G0268074	DDB_G0268074		"Q9FY46 Sulfate transporter 4.1, chloroplast precursor (AST82)."	"P: transport, sulfate transport || F: transporter activity, secondary active sulfate transmembrane transporter activity || C: membrane, integral to membrane"	"Sulfate_transp, STAS"	Y	1				0.951537
DDB_G0268076	DDB_G0268076					Y	1				0.960247
DDB_G0268078	DDB_G0268078		"putative protein serine/threonine kinase, protein kinase, CMGC group, RCK family protein kinase"	"P: protein amino acid phosphorylation || F: protein serine/threonine kinase activity, ATP binding || C: cellular_component"	Pkinase	Y					0.979672
DDB_G0268080	rpc3		RNA polymerase III subunit	"P: transcription, regulation of transcription from RNA polymerase III promoter || F: DNA binding, DNA-directed RNA polymerase activity || C: DNA-directed RNA polymerase III complex"	"RNA_pol_Rpc82, HTH_9"	Y	3				0.996503
DDB_G0268082	DDB_G0268082					Y					0.783051
DDB_G0268084	wdr91		WD40 repeat-containing protein	P: biological_process || F: molecular_function || C: cellular_component	"WD40, WD40, WD40, WD40"	Y	2				0.982189
DDB_G0268086	DDB_G0268086					Y					0.839572
DDB_G0268088	lvsG		"WD40 repeat-containing protein, BEACH domain-containing protein, kinase motif-containing (KMC) protein"	"P: protein amino acid phosphorylation, biological_process || F: molecular_function, protein kinase activity, ATP binding || C: cellular_component"	"Pkinase, WD40, Beach"	Y	1				0.976609
DDB_G0268090	DDB_G0268090		glycoside hydrolase family 18 protein	"P: carbohydrate metabolic process || F: hydrolase activity, hydrolyzing O-glycosyl compounds || C: cellular_component"	Glyco_hydro_18	Y					1
DDB_G0268092	DDB_G0268092			P:  || F: zinc ion binding || C: 	SWIM	Y	3				1
DDB_G0268094	DDB_G0268094					Y					1
DDB_G0268096	DDB_G0268096					Y	2				0.948627
DDB_G0268098	DDB_G0268098		MAR-binding protein.		"Nop, NOSIC, NOP5NT"	Y	31				0.974974
DDB_G0268100	asnS2	"asnS, AsnRS"	"asparagine-tRNA ligase, asparaginyl-tRNA synthetase"	"P: asparaginyl-tRNA aminoacylation || F: asparagine-tRNA ligase activity, ATP binding, ligase activity || C: cytoplasm"	"tRNA-synt_2, tRNA_anti"	Y					1
DDB_G0268102	DDB_G0268102			"P:  || F: kinase activity, transferase activity || C: "		Y	4				0.849651
DDB_G0268104	gabT	"ABAT, GABAT"	"4-aminobutyrate transaminase, GABA transaminase, GABA transferase"	"P: gamma-aminobutyric acid metabolic process || F: 4-aminobutyrate transaminase activity, transferase activity, pyridoxal phosphate binding || C: mitochondrion"	Aminotran_3	Y	53				1
DDB_G0268106	DDB_G0268106				CBM49	Y					1
DDB_G0268108	DDB_G0268108					Y					1
DDB_G0268110	DDB_G0268110		"Kelch repeat-containing protein, SAM domain-containing protein"	P: biological_process || F: molecular_function || C: cellular_component	"SAM_1, Kelch_1, Kelch_1, Kelch_1, Kelch_1, Kelch_1"	Y					0.946313
DDB_G0268112	DDB_G0268112		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	2				1
DDB_G0268114	DDB_G0268114					Y					1
DDB_G0268116	DDB_G0268116			P:  || F: binding || C: membrane		Y	3				0.958707
DDB_G0268118	DDB_G0268118		Erwinia chrysanthemi IndA protein homolog-like.		"PfkB, Indigoidine_A"	Y	24				1
DDB_G0268120	DDB_G0268120					Y					0.945255
DDB_G0268122	DDB_G0268122					Y	1				0.828685
DDB_G0268124	DDB_G0268124					Y					0.931818
DDB_G0268126	DDB_G0268126					Y	2				0.986094
DDB_G0268128	DDB_G0268128		Pol.			Y					0.409326
DDB_G0268130	DDB_G0268130					Y	3				1
DDB_G0268132	DDB_G0268132		SET domain-containing protein	P: biological_process || F: molecular_function || C: nucleus	SET	Y					0.972202
DDB_G0268134	DDB_G0268134		Similar to Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV). hypothetical 29.3 kDa protein (ORF92).	"P: chromatin assembly or disassembly || F: chromatin binding, heat shock protein binding || C: chromatin, nucleus"	Chromo	Y					0.933911
DDB_G0268136	DDB_G0268136			P: guanosine tetraphosphate metabolic process || F:  || C: 	RelA_SpoT	Y	1				1
DDB_G0268138	DDB_G0268138		"putative glutathione S-transferase, putative glutathione transferase"	"P: biological_process || F: glutathione transferase activity, transferase activity || C: phagocytic vesicle"	"GST_C, GST_N"	Y	4				1
DDB_G0268140	DDB_G0268140					Y	40				0.998283
DDB_G0268142	DDB_G0268142					Y	2				0.969466
DDB_G0268144	vwkA		"protein serine/threonine kinase, type A von Willebrand factor (VWFA) domain-containing protein, protein kinase, Atypical group, Alpha kinase family protein"	"P: cytokinesis, protein amino acid phosphorylation, peptidyl-threonine phosphorylation, peptidyl-serine modification, myosin II filament assembly or disassembly, regulation of sorocarp development, sorocarp morphogenesis || F: protein kinase activity, protein serine/threonine kinase activity, calmodulin binding, ATP binding, myosin heavy chain kinase activity || C: contractile vacuole, cytoplasm, perinuclear region of cytoplasm"	Alpha_kinase	Y	4	"FLAG-VwkA: aberrant cytokinesis, decreased growth rate in suspension, development arrests at mound stage, increased myosin II assembly, increased protein level || GFP-VwkA: aberrant cytokinesis, decreased growth rate in suspension || vwkA-: aberrant cytokinesis, aberrant fruiting body morphology, decreased growth rate in suspension, delayed development, increased myosin II assembly, increased protein level"			1
DDB_G0268146	DDB_G0268146					Y					0.857685
DDB_G0268148	DDB_G0268148					Y					0.916266
DDB_G0268150	DDB_G0268150					Y					0.868715
DDB_G0268152	DDB_G0268152					Y					0.996347
DDB_G0268154	DDB_G0268154					Y					1
DDB_G0268156	DDB_G0268156			P: chaperone mediated protein folding requiring cofactor || F: ATP binding || C: endoplasmic reticulum	Torsin	Y	3				0.992476
DDB_G0268158	DDB_G0268158		PHD zinc finger-containing protein	"P: regulation of transcription, DNA-dependent, biological_process, biological_process || F: molecular_function, protein binding, zinc ion binding || C: cellular_component"	"PHD, PHD"	Y	2	DDB_G0268158-: wild type			0.922147
DDB_G0268160	gnt12		"putative glycosyltransferase, putative GlcNAc transferase, putative beta-1,3-N-acetylglucosaminyltransferase"	"P: transport, biological_process || F: molecular_function, transferase activity || C: cellular_component"		Y					0.978839
DDB_G0268162	DDB_G0268162			"P:  || F: protein binding, zinc ion binding || C: "	zf-C3HC4	Y	4				0.75838
DDB_G0268164	DDB_G0268164					Y	1				0.911558
DDB_G0268166	DDB_G0268166				Cupin_5	Y					1
DDB_G0268168	DDB_G0268168			P:  || F: sugar binding || C: 	"Lectin_legB, Transglut_core"	Y	3				0.995156
DDB_G0268170	DDB_G0268170		hssA/2C/7E family protein	P: biological_process || F: molecular_function || C: cellular_component		Y					0.912409
DDB_G0268172	DDB_G0268172		hssA/2C/7E family protein	P: biological_process || F: molecular_function || C: cellular_component		Y					0.464151
DDB_G0268174	DDB_G0268174		hssA/2C/7E family protein	P: biological_process || F: molecular_function || C: cellular_component		Y					0.415094
DDB_G0268176	DDB_G0268176					Y					0.962369
DDB_G0268178	jcdB		"transcription factor jumonji, jmjC domain-containing protein"	P: biological_process || F: molecular_function || C: cellular_component		Y					0.989559
DDB_G0268180	DDB_G0268180				EGF_2	Y					1
DDB_G0268182	DDB_G0268182					Y	5				1
DDB_G0268184	DDB_G0268184					Y	2				0.966168
DDB_G0268186	DDB_G0268186		Putative mitotic control protein dis3 (At2g17510/MJB20.7).	"P:  || F: RNA binding, ribonuclease activity || C: "	RNB	Y					0.945527
DDB_G0268188	DDB_G0268188					Y					0.976153
DDB_G0268190	fut11		"glycosyltransferase, alpha-3/4-fucosyltransferase, LamG-like jellyroll fold domain-containing protein"	"P: protein amino acid glycosylation || F: fucosyltransferase activity, transferase activity || C: membrane"	Glyco_transf_10	Y	27				0.981692
DDB_G0268192	DDB_G0268192		AhpC/TSA family protein	"P: biological_process || F: antioxidant activity, oxidoreductase activity || C: cellular_component"	AhpC-TSA	Y					0.667382
DDB_G0268194	DDB_G0268194		dCTP deaminase	"P: pyrimidine base metabolic process, nucleotide metabolic process || F: dCTP deaminase activity, hydrolase activity || C: cellular_component"		Y					1
DDB_G0268196	DDB_G0268196					Y	1				1
DDB_G0268198	rpa43		RNA polymerase I subunit	"P: transcription, transcription from RNA polymerase I promoter || F: RNA binding, DNA-directed RNA polymerase activity || C: DNA-directed RNA polymerase I complex"	RNA_pol_Rpb7_N	Y	4				0.804105
DDB_G0268200	DDB_G0268200					Y					0.99759
DDB_G0268202	DDB_G0268202					Y	2				1
DDB_G0268204	gnt9		"GlcNAc transferase, glycosyltransferase, beta-1,6-N-acetylglucosaminyltransferase, core-2/I-branching enzyme"	"P: protein amino acid glycosylation || F: acetylglucosaminyltransferase activity, transferase activity || C: membrane"	Branch	Y					0.987348
DDB_G0268206	DDB_G0268206			P: regulation of nitrogen utilization || F: transcription repressor activity || C: 	NmrA	Y					0.917318
DDB_G0268208	DDB_G0268208				Erf4	Y					1
DDB_G0268210	DDB_G0268210					Y	3				1
DDB_G0268212	DDB_G0268212		putative DEAD/DEAH box helicase	"P: biological_process || F: ATP binding, ATP-dependent helicase activity || C: centrosome"	"HA2, DUF1605"	Y	3				1
DDB_G0268214	enoB		"phosphopyruvate hydratase, 2-phospho-D-glycerate hydrolase, enolase"	"P: glycolysis || F: magnesium ion binding, phosphopyruvate hydratase activity, lyase activity || C: phosphopyruvate hydratase complex"	"Enolase_C, Enolase_N"	Y	50				1
DDB_G0268216	DDB_G0268216					Y					0.999053
DDB_G0268218	DDB_G0268218			P:  || F: protein binding || C: 		Y	2				0.967818
DDB_G0268220	DDB_G0268220			P:  || F: protein binding || C: 	LRR_1	Y					1
DDB_G0268222	DDB_G0268222			P:  || F: hydrolase activity || C: 	Metallophos	Y	17				1
DDB_G0268224	DDB_G0268224		DDT domain-containing protein	P: biological_process || F: molecular_function || C: cellular_component		Y	5				1
DDB_G0268226	DDB_G0268226					Y	3				0.989474
DDB_G0268228	DDB_G0268228					Y	2				0.982659
DDB_G0268230	DDB_G0268230				MFS_1	Y					1
DDB_G0268232	DDB_G0268232		"small MutS related (smr) family protein, ubiquitin system component Cue domain containing protein"	P: biological_process || F: molecular_function || C: cellular_component	"Smr, DUF1771"	Y	14				0.937642
DDB_G0268234	DDB_G0268234					Y					0.895363
DDB_G0268236	DDB_G0268236					Y	9				0.984287
DDB_G0268238	alg3		"glycosyltransferase, dolichyl-phosphate-mannose alpha-1,3-mannosyltransferase"	"P: protein amino acid glycosylation, dolichol-linked oligosaccharide biosynthetic process || F: alpha-1,3-mannosyltransferase activity, transferase activity || C: endoplasmic reticulum"	ALG3	Y					0.970939
DDB_G0268240	DDB_G0268240					Y	2				0.886154
DDB_G0268242	DDB_G0268242					Y					0.551058
DDB_G0268244	DDB_G0268244				PAT1	Y	5				0.924762
DDB_G0268246	DDB_G0268246		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y					0.905607
DDB_G0268248	DDB_G0268248					Y	7	"V30876: aberrant cAMP wave formation, aberrant streaming, wild type"			0.998318
DDB_G0268250	DDB_G0268250					Y	6				0.996593
DDB_G0268252	DDB_G0268252			P:  || F: zinc ion binding || C: nucleus	"SET, zf-MYND"	Y					1
DDB_G0268254	DDB_G0268254				"FNIP, FNIP"	Y					0.918437
DDB_G0268256	DDB_G0268256				FNIP	Y					0.957597
DDB_G0268258	kif12		"kinesin family member 12, kinesin-6"	"P: mitotic spindle elongation, nuclear division, formation of actomyosin apparatus involved in cytokinesis, microtubule-based movement || F: nucleotide binding, motor activity, microtubule motor activity, ATP binding || C: nucleus, cytoplasm, spindle, kinesin complex, microtubule, microtubule associated complex, midbody, spindle pole centrosome"	Kinesin	Y	1	"V10239: aberrant culmition, wild type || kif12-: aberrant cytokinesis, aberrant myosin II organization, aberrant protein localization || kif12-/[act15]:FLAG:kif12: wild type"			0.96934
DDB_G0268260	DDB_G0268260		"AN1-type zinc finger-containing protein, UBX domain-containing protein"	P:  || F: zinc ion binding || C: 	"UBX, zf-AN1"	Y					0.860663
DDB_G0268262	DDB_G0268262					Y					0.719008
DDB_G0268264	DDB_G0268264		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	27				0.710432
DDB_G0268266	DDB_G0268266			"P: sorocarp development || F: nucleotide binding, nucleic acid binding || C: "	RRM_1	Y	6	"V10281: aberrant cAMP wave formation, aberrant slug migration"			0.920811
DDB_G0268268	DDB_G0268268					Y					0.945482
DDB_G0268270	DDB_G0268270			"P: proteolysis, cell adhesion || F: metalloendopeptidase activity, zinc ion binding || C: membrane"	Peptidase_M8	Y	4				1
DDB_G0268272	aslN		"putative acetyl-CoA synthetase, AMP-dependent synthetase and ligase domain-containing protein"	P: metabolic process || F: catalytic activity || C: 		Y	20				0.829522
DDB_G0268274	DDB_G0268274					Y					1
DDB_G0268276	DDB_G0268276					Y					1
DDB_G0268278	DDB_G0268278					Y	11				1
DDB_G0268280	DDB_G0268280					Y					0.948641
DDB_G0268284	tgrO4			P: biological_process || F: molecular_function || C: cellular_component		Y					0.952854
DDB_G0268286	DDB_G0268286					Y	1				1
DDB_G0268288	DDB_G0268288			"P:  || F: nucleic acid binding, helicase activity, ATP binding, ATP-dependent helicase activity, hydrolase activity || C: "	"DEAD, Helicase_C, DUF1998"	Y					0.955972
DDB_G0268290	DDB_G0268290					Y					0.989305
DDB_G0268292	DDB_G0268292					Y	46				0.975566
DDB_G0268294	DDB_G0268294					Y					0.443314
DDB_G0268296	DDB_G0268296					Y					0.948187
DDB_G0268298	DDB_G0268298					Y					1
DDB_G0268300	DDB_G0268300					Y					1
DDB_G0268302	rpl38		S60 ribosomal protein L38	"P: translation || F: structural constituent of ribosome || C: intracellular, ribosome, ribonucleoprotein complex"	Ribosomal_L38e	Y	38				1
DDB_G0268304	tgrO3		immunoglobulin E-set domain-containing protein	P: biological_process || F: molecular_function || C: cellular_component		Y	2				0.418217
DDB_G0268306	rpb9		RNA polymerase II core subunit	"P: transcription, RNA elongation, regulation of transcription, DNA-dependent, transcription from RNA polymerase II promoter, regulation of transcription || F: RNA polymerase II transcription factor activity, DNA-directed RNA polymerase activity, zinc ion binding, transferase activity, nucleotidyltransferase activity, transcription regulator activity, metal ion binding || C: DNA-directed RNA polymerase II, core complex"	"TFIIS_C, RNA_POL_M_15KD"	Y					1
DDB_G0268308	DDB_G0268308					Y	5				1
DDB_G0268310	DDB_G0268310					Y					1
DDB_G0268312	DDB_G0268312					Y					0.985148
DDB_G0268314	DDB_G0268314		Similar to Podocoryne carnea. EGF-like protein (Fragment).		"EGF_2, EGF_2, EGF_2, EGF_2"	Y		"V31923: aberrant culmition, wild type || V31928: wild type"			0.832965
DDB_G0268316	DDB_G0268316			P:  || F: zinc ion binding || C: 	"PH, LIM"	Y	5				0.937806
DDB_G0268318	DDB_G0268318					Y	7				1
DDB_G0268320	DDB_G0268320				ChAPs	Y	30				0.987099
DDB_G0268322	DDB_G0268322		zinc-containing alcohol dehydrogenase (ADH)	"P: biological_process || F: zinc ion binding, oxidoreductase activity || C: cellular_component"		Y					0.598612
DDB_G0268324	DDB_G0268324			"P:  || F: zinc ion binding, metal ion binding || C: "		Y	1				0.902198
DDB_G0268326	DDB_G0268326					Y					0.987542
DDB_G0268328	DDB_G0268328		unknown	"P: biological_process || F: molecular_function, kinase activity, transferase activity || C: cellular_component"		Y	6				0.967551
DDB_G0268330	sgmD		putative sphingomyelinase	"P: sphingomyelin catabolic process, ceramide biosynthetic process || F: sphingomyelin phosphodiesterase activity || C: extracellular region"		Y	3				1
DDB_G0268332	DDB_G0268332		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y	15				0.285171
DDB_G0268334	DDB_G0268334		F32D1.1 protein.	"P:  || F: nucleotide binding, ATP binding, nucleoside-triphosphatase activity || C: "	"AAA, Vps4_C"	Y	2				0.953361
DDB_G0268336	DDB_G0268336				Methyltransf_11	Y	10				1
DDB_G0268338	DDB_G0268338					Y					0.844755
DDB_G0268340	DDB_G0268340		Multifunctional protein (Fragment).	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "	RVT_1	Y					0.00870968
DDB_G0268342	DDB_G0268342				FNIP	Y					1
DDB_G0268344	DDB_G0268344					Y					0.836264
DDB_G0268346	DDB_G0268346		patatin family protein	P: lipid metabolic process || F: molecular_function || C: cellular_component	Patatin	Y	6				0.997638
DDB_G0268348	DDB_G0268348					Y	1				0.958436
DDB_G0268350	DDB_G0268350					Y	2				0.820674
DDB_G0268352	DDB_G0268352				"TIG, EGF_2"	Y	2				0.998808
